,id,name,host_id,host_name,neighbourhood,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,Unnamed: 0,host_listings_count
18753,17662923,Charming guest bedroom 1 with queen bed,5971687,Mandy,Monterey Park,,34.06481166,-118.1246301,Private room,46,3,1,4/12/2017,1.0,141,18753,6.0
6135,9300677,Orange Drive Hostel - Female Dorm,9250479,Gretchen,Hollywood,,34.10323908,-118.3402233,Shared room,46,1,5,10/4/2016,0.31,365,6135,20.0
6051,9027426,Hollywood Hills / Weho Luxury Spot/Sunset Blvd,24936896,Shaina And Andy,Hollywood,,34.09966363,-118.34809969999999,Shared room,46,3,13,3/29/2017,0.86,364,6051,1.0
5631,9321531,Orange Drive Hostel-Male Dorm Room,9250479,Gretchen,Hollywood,,34.10295923,-118.34075700000001,Shared room,46,1,9,6/18/2016,0.53,365,5631,20.0
3255,8055198,The Tree House,42544468,Julia,Burbank,,34.18826268,-118.2941812,Private room,46,1,13,8/22/2016,0.65,0,3255,2.0
29957,14550298,"Westlake Art Studio, Stay in the community",90053222,Miguel,Westlake,,34.06159004,-118.2621358,Private room,46,2,18,3/30/2017,2.07,70,29957,1.0
12608,6272120,Two Cozy Twin Beds in Private Room,30291029,Sherry,Hyde Park,,33.99014812,-118.326076,Private room,46,2,43,4/16/2017,1.79,365,12608,4.0
24619,8384304,Private room near Universal Studios,43604960,Robert,Studio City,,34.15060222,-118.3726723,Private room,46,1,4,8/2/2016,0.22,43,24619,1.0
6096,2667340,Apartment in the heart of Hollywoo,13654176,Natali,Hollywood,,34.09544317,-118.3351999,Private room,46,1,104,11/19/2016,2.81,275,6096,1.0
8362,8053189,Guest Room in Great Location,15386857,Mathew,Fairfax,,34.07741882,-118.3614027,Private room,46,14,7,4/27/2017,0.35,226,8362,1.0
31181,12586844,Double occupancy bedroom,67092517,Perry,Woodland Hills,,34.17024498,-118.61530659999998,Private room,46,1,41,3/22/2017,3.43,357,31181,2.0
13608,17437168,Perfect room/ near lax airport #1,89465410,Jose,Inglewood,,33.93779621,-118.3334554,Private room,46,1,5,5/1/2017,3.13,323,13608,5.0
14639,13531384,Lakewood 2 home-Quiet n Safe,77785573,Joseph And Air,Lakewood,,33.8544597,-118.12944070000002,Private room,46,3,8,4/15/2017,0.74,138,14639,2.0
11218,14577507,A generous sized shared one bedroom,90343256,Kingi,Hollywood Hills,,34.13336638,-118.34721929999999,Private room,46,1,1,9/24/2016,0.14,363,11218,1.0
8165,18308552,Spacious & cozy home centrally located,24592484,Flavia,East Hollywood,,34.08081949,-118.2943499,Private room,46,1,0,,,162,8165,3.0
30491,3264791,Furnished Single Room in a 2B2B apt,16509619,Ma,Westwood,,34.06291633,-118.45208810000001,Private room,46,1,1,6/3/2015,0.04,0,30491,1.0
13844,14284660,Ambiance,87179012,Rodir &,Lawndale,,33.88881268,-118.34644170000001,Private room,46,2,21,3/12/2017,2.41,169,13844,1.0
3594,15943554,comfrotable bed with a lovely room.,103493115,Lalanie,Canoga Park,,34.209421,-118.61253870000002,Private room,46,1,0,,,179,3594,1.0
1185,14095698,Private room- Twin over full bunk,84822301,Mylan,Pico-Union,,34.05029347,-118.29715890000001,Private room,46,1,56,4/14/2017,6.0,316,1185,3.0
17052,13941545,Revi Garden,82357334,Revital,Mid-City,,34.04125872,-118.37895300000001,Private room,46,1,26,4/28/2017,2.76,247,17052,3.0
